,key_name,description,files,category
198,b19_03,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
199,b19_04,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
200,b19_05,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
201,b19_06,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
202,b19_07,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
203,b19_08,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
204,b19_09,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
205,b19_10,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
206,b19_11,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
207,b19_12,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
208,b19_13,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
209,b19_14,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
210,b19_15,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
211,b19_16,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
212,b19_17,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
213,b19_18,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
214,b19_19,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
215,b19_20,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
216,b1_01,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
217,b1_02,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
218,b1_03,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
219,b1_04,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
220,b1_05,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
221,b1_06,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
222,b1_07,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
223,b1_08,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
224,b1_09,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
225,b1_10,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
226,b1_11,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
227,b1_12,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
228,b1_13,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
229,b1_14,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
230,b1_15,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
231,b1_16,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
232,b1_17,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
233,b1_18,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
234,b1_19,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
235,b1_20,Month of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
236,b2,Year of birth,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
258,b2_01,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
259,b2_02,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
260,b2_03,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
261,b2_04,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
262,b2_05,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
263,b2_06,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
264,b2_07,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
265,b2_08,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
266,b2_09,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
267,b2_10,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
268,b2_11,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
269,b2_12,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
270,b2_13,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
271,b2_14,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
272,b2_15,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
273,b2_16,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
274,b2_17,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
275,b2_18,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
276,b2_19,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
277,b2_20,Year of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
278,b3,Date of birth (CMC),"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
279,b3_01,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
280,b3_02,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
281,b3_03,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
282,b3_04,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
283,b3_05,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
284,b3_06,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
285,b3_07,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
286,b3_08,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
287,b3_09,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
288,b3_10,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
289,b3_11,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
290,b3_12,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
291,b3_13,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
292,b3_14,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
293,b3_15,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
294,b3_16,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
295,b3_17,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
296,b3_18,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
297,b3_19,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
298,b3_20,Date of birth (CMC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
320,b5,Child is alive,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Target Feature
321,b5_01,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
322,b5_02,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
323,b5_03,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
324,b5_04,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
325,b5_05,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
326,b5_06,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
327,b5_07,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
328,b5_08,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
329,b5_09,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
330,b5_10,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
331,b5_11,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
332,b5_12,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
333,b5_13,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
334,b5_14,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
335,b5_15,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
336,b5_16,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
337,b5_17,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
338,b5_18,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
339,b5_19,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
340,b5_20,Child is alive,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
425,bidx,Birth column number,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
426,bidx_01,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
427,bidx_02,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
428,bidx_03,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
429,bidx_04,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
430,bidx_05,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
431,bidx_06,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
432,bidx_07,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
433,bidx_08,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
434,bidx_09,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
435,bidx_10,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
436,bidx_11,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
437,bidx_12,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
438,bidx_13,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
439,bidx_14,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
440,bidx_15,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
441,bidx_16,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
442,bidx_17,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
443,bidx_18,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
444,bidx_19,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
445,bidx_20,Birth column number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
446,bord,Birth order number,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
447,bord_01,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
448,bord_02,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
449,bord_03,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
450,bord_04,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
451,bord_05,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
452,bord_06,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
453,bord_07,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
454,bord_08,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
455,bord_09,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
456,bord_10,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
457,bord_11,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
458,bord_12,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
459,bord_13,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
460,bord_14,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
461,bord_15,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
462,bord_16,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
463,bord_17,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
464,bord_18,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
465,bord_19,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
466,bord_20,Birth order number,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
469,d005,Weight for Domestic Violence (6 decimals),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Target Feature
508,d110c,NA - Ever went to health facility because of husband/partner's actions,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
731,h1,Has health card,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
